"","salary","age","elevel","car","zipcode","credit","brand"
"1",113770.6723,59,3,14,6,737.93,"Belkin"
"2",139182.774,67,3,16,5,679.31,"Elago"
"3",101966.6571,53,2,3,8,602.73,"Belkin"
"4",71760.51794,26,2,8,5,653.9,"Belkin"
"6",36716.5361,46,2,5,6,461.72,"Elago"
"7",129555.8395,34,2,19,8,726.78,"Elago"
"9",92665.20062,71,2,19,4,712.01,"Belkin"
"11",87023.31941,26,2,14,5,627.84,"Belkin"
"12",98205.38073,67,3,4,0,665.53,"Belkin"
"13",86510.97719,48,2,15,3,694.45,"Belkin"
"14",56504.47056,46,2,1,1,641.76,"Elago"
"16",32160.43161,33,1,8,1,588.53,"Elago"
"18",120871.0282,60,3,5,3,677.64,"Elago"
"20",57879.39637,33,2,5,4,514.48,"Belkin"
"21",47597.31138,39,2,4,4,489.25,"Elago"
"28",74452.7415,77,2,8,7,581.24,"Belkin"
"29",34582.57713,49,1,18,2,499.1,"Elago"
"30",126163.06,20,2,4,2,802.57,"Elago"
"32",28662.61981,48,2,18,7,591.47,"Elago"
"33",81264.8358,50,3,13,6,702.61,"Belkin"
"34",33221.00756,33,1,18,8,581.21,"Elago"
"36",82322.35376,78,3,9,1,567.8,"Belkin"
"38",59800.42133,52,2,7,7,570.19,"Elago"
"39",72984.10213,65,3,7,2,539.65,"Belkin"
"41",43455.62206,35,1,19,2,582.55,"Elago"
"42",119173.6601,50,2,20,7,689.64,"Belkin"
"44",84417.76827,76,3,20,1,610.33,"Belkin"
"45",106166.8423,74,3,13,4,627.74,"Elago"
"47",108705.4751,39,3,8,0,651.92,"Belkin"
"48",150000,76,3,11,3,804.94,"Elago"
"49",91151.51517,64,2,2,4,605.24,"Elago"
"50",130756.6811,66,3,1,1,800.71,"Belkin"
"51",53546.72136,52,1,7,3,589.28,"Belkin"
"52",52078.16498,73,3,3,8,637.54,"Belkin"
"53",120157.7166,30,2,16,1,706.43,"Elago"
"54",77445.61939,36,2,6,7,625.94,"Belkin"
"55",51037.26294,43,2,8,0,482.48,"Elago"
"58",31184.57771,31,1,15,7,464.91,"Elago"
"59",86156.25961,55,3,17,8,688.31,"Belkin"
"60",97148.12112,50,3,19,5,749.29,"Belkin"
"61",96120.495,36,2,14,6,741.09,"Belkin"
"62",62178.23118,44,3,18,7,651.63,"Elago"
"63",32815.78636,68,1,18,1,587.03,"Belkin"
"64",33290.17045,22,2,7,2,612.57,"Elago"
"66",30089.75761,64,2,18,0,597.2,"Elago"
"69",83633.82336,29,3,3,3,570.79,"Belkin"
"70",78508.80393,56,2,20,0,684.7,"Belkin"
"71",109141.4811,55,3,6,1,614.95,"Belkin"
"72",113215.5704,73,3,12,7,668.55,"Elago"
"73",150000,39,3,5,5,726.24,"Elago"
"74",51127.20998,77,3,20,1,501.21,"Belkin"
"75",58492.53432,40,2,8,0,605.96,"Belkin"
"76",85538.1008,22,3,2,6,649.62,"Belkin"
"77",141705.8153,71,4,14,0,808.96,"Belkin"
"80",64042.74061,24,3,7,0,673,"Elago"
"81",66195.07727,21,2,1,7,618.22,"Belkin"
"83",108045.2778,20,2,9,2,676.45,"Elago"
"84",36679.32036,35,2,12,1,460.37,"Elago"
"85",84796.30592,24,2,19,2,606.03,"Belkin"
"86",96634.72606,28,3,6,5,601.86,"Belkin"
"87",44367.07402,64,2,3,5,545.93,"Belkin"
"88",41714.67173,33,2,8,1,530.77,"Elago"
"89",42168.6251,68,1,6,7,570.61,"Belkin"
"90",50889.06737,20,2,8,4,574.92,"Belkin"
"91",126332.64,73,3,1,6,787.4,"Belkin"
